"GEOID","NAME","popn","black","hisp","pov","med_inc","emp","perc.black","perc.hisp","perc.pov","perc.emp"
"36005018502","Census Tract 185.02; Bronx County; New York",6314,2710,3527,2827,21635,1463,0.429204941400063,0.558599936648717,0.447735191637631,0.231707317073171
"36005018900","Census Tract 189; Bronx County; New York",8460,3420,4904,2856,45770,3434,0.404255319148936,0.57966903073286,0.337588652482269,0.405910165484634
"36005019300","Census Tract 193; Bronx County; New York",5933,3002,3550,1494,38663,2502,0.505983482218102,0.598348221810214,0.251811899544918,0.421709084780044
"36005019400","Census Tract 194; Bronx County; New York",2070,363,1210,419,70185,911,0.17536231884058,0.584541062801932,0.202415458937198,0.440096618357488
"36005019500","Census Tract 195; Bronx County; New York",7143,3713,3241,3371,33412,2227,0.519809603807924,0.453730925381492,0.471930561388772,0.31177376452471
"36005019700","Census Tract 197; Bronx County; New York",7830,1864,6163,3880,34871,2951,0.238058748403576,0.787100893997446,0.495530012771392,0.376883780332056
"36005019900","Census Tract 199; Bronx County; New York",7496,2989,4571,2515,35139,3349,0.398745997865528,0.609791889007471,0.33551227321238,0.446771611526147
"36005020000","Census Tract 200; Bronx County; New York",4935,530,2990,1173,46021,1983,0.107396149949341,0.605876393110436,0.237689969604863,0.401823708206687
"36005020100","Census Tract 201; Bronx County; New York",3868,1489,2564,1585,37433,1075,0.384953464322647,0.66287487073423,0.409772492244054,0.277921406411582
"36005020200","Census Tract 202; Bronx County; New York",2578,313,1693,564,53651,1203,0.121411947245927,0.656710628394104,0.21877424359969,0.466640806826998
"36005020400","Census Tract 204; Bronx County; New York",3012,398,1927,536,59138,1193,0.132138114209827,0.639774236387782,0.177954847277556,0.396082337317397
"36005020501","Census Tract 205.01; Bronx County; New York",7271,1429,5981,4367,17056,1869,0.196534176867006,0.822582863430065,0.600605143721634,0.257048549030395
"36005020502","Census Tract 205.02; Bronx County; New York",2605,1061,1829,718,28510,1169,0.407293666026871,0.7021113243762,0.275623800383877,0.448752399232246
"36005020601","Census Tract 206.01; Bronx County; New York",2528,286,1187,799,55648,1151,0.113132911392405,0.469541139240506,0.316060126582278,0.455300632911392
"36005020900","Census Tract 209; Bronx County; New York",4867,2211,2704,1118,44769,2026,0.454283953153894,0.55557838504212,0.229710293815492,0.416272858023423
"36005021001","Census Tract 210.01; Bronx County; New York",7895,4488,3112,2393,46269,2921,0.56846105129829,0.394173527549082,0.303103229892337,0.369981000633312
"36005021002","Census Tract 210.02; Bronx County; New York",7925,3217,3128,1812,71397,3479,0.405930599369085,0.394700315457413,0.228643533123028,0.438990536277603
"36005021100","Census Tract 211; Bronx County; New York",6268,2345,4081,1660,42077,2427,0.374122527121889,0.651084875558392,0.264837268666241,0.387204850031908
"36005021200","Census Tract 212; Bronx County; New York",4975,1783,1598,892,66329,2353,0.358391959798995,0.321206030150754,0.17929648241206,0.472964824120603
"36005021301","Census Tract 213.01; Bronx County; New York",1323,443,954,263,34470,523,0.334845049130763,0.72108843537415,0.198790627362056,0.395313681027967
"36005021302","Census Tract 213.02; Bronx County; New York",5947,2903,3401,3050,23639,1596,0.488145283336136,0.571884984025559,0.512863628720363,0.268370607028754
"36005021501","Census Tract 215.01; Bronx County; New York",4665,922,3638,1802,39756,1965,0.197642015005359,0.779849946409432,0.386280814576634,0.421221864951768
"36005021502","Census Tract 215.02; Bronx County; New York",6986,1986,5242,2857,19904,1930,0.28428285141712,0.750357858574291,0.408960778700258,0.276266819352992
"36005021601","Census Tract 216.01; Bronx County; New York",4421,1075,3015,1012,45156,2001,0.24315765663877,0.681972404433386,0.228907486993893,0.452612531101561
"36005021602","Census Tract 216.02; Bronx County; New York",6093,1811,1790,1106,60286,3045,0.297226325291318,0.293779747250944,0.181519776793041,0.499753815854259
"36005021700","Census Tract 217; Bronx County; New York",5371,2205,2578,1857,40394,2406,0.410538074846397,0.479985105194563,0.34574567119717,0.447961273505865
"36005021800","Census Tract 218; Bronx County; New York",6037,1292,4323,1793,55804,2732,0.214013582905417,0.716084147755508,0.297001822097068,0.452542653635912
"36005021900","Census Tract 219; Bronx County; New York",949,202,745,227,45906,460,0.212855637513172,0.785036880927292,0.239199157007376,0.484720758693361
"36005022000","Census Tract 220; Bronx County; New York",2142,574,1574,1039,32174,709,0.26797385620915,0.734827264239029,0.485060690943044,0.330999066293184
"36005022101","Census Tract 221.01; Bronx County; New York",4424,982,3222,1581,55078,1624,0.221971066907776,0.728300180831826,0.357368896925859,0.367088607594937
"36005022102","Census Tract 221.02; Bronx County; New York",6143,927,5047,1771,50051,2485,0.150903467361224,0.82158554452222,0.288295621032069,0.404525476151717
"36005022200","Census Tract 222; Bronx County; New York",3333,284,1536,889,52734,1263,0.0852085208520852,0.460846084608461,0.266726672667267,0.378937893789379
"36005022300","Census Tract 223; Bronx County; New York",5447,904,4553,1489,33646,2408,0.165962915366257,0.835872957591335,0.27336148338535,0.442078208187993
"36005022401","Census Tract 224.01; Bronx County; New York",2640,468,1608,281,63571,1191,0.177272727272727,0.609090909090909,0.106439393939394,0.451136363636364
"36005022403","Census Tract 224.03; Bronx County; New York",2998,657,1941,336,88534,1480,0.219146097398266,0.64743162108072,0.112074716477652,0.493662441627752
"36005022404","Census Tract 224.04; Bronx County; New York",4795,1092,2765,584,66121,2453,0.227737226277372,0.576642335766423,0.121793534932221,0.511574556830031
"36005022500","Census Tract 225; Bronx County; New York",9093,2238,7104,2464,52834,3423,0.246123391619927,0.78126031012867,0.270977675134719,0.376443418013857
"36005022701","Census Tract 227.01; Bronx County; New York",4876,2226,2769,1545,31500,1949,0.456521739130435,0.567883511074651,0.316858080393765,0.399712879409352
"36005022702","Census Tract 227.02; Bronx County; New York",1449,296,1099,743,27165,531,0.204278812974465,0.758454106280193,0.512767425810904,0.366459627329193
"36005022703","Census Tract 227.03; Bronx County; New York",2050,519,1538,697,75489,812,0.253170731707317,0.750243902439024,0.34,0.39609756097561
"36005022800","Census Tract 228; Bronx County; New York",5693,1588,2454,736,86549,3081,0.278939047953627,0.431055682417003,0.129281573862638,0.541190936237485
"36005022901","Census Tract 229.01; Bronx County; New York",5466,2910,3101,1724,50023,2398,0.53238199780461,0.567325283571167,0.315404317599707,0.438712038053421
"36005022902","Census Tract 229.02; Bronx County; New York",3501,1003,2594,1137,51964,1816,0.286489574407312,0.740931162524993,0.324764353041988,0.518708940302771
"36005023000","Census Tract 230; Bronx County; New York",2773,461,1558,795,55625,1110,0.166245943021998,0.561846375766318,0.286693112152903,0.400288496213487
"36005023100","Census Tract 231; Bronx County; New York",1675,952,696,438,55179,600,0.568358208955224,0.415522388059701,0.261492537313433,0.358208955223881
"36005023200","Census Tract 232; Bronx County; New York",2378,230,1104,612,55288,1008,0.0967199327165685,0.464255677039529,0.257359125315391,0.423885618166526
"36005023301","Census Tract 233.01; Bronx County; New York",4067,1610,2595,1267,31887,1753,0.395869191049914,0.638062453897221,0.311531841652324,0.43103024342267
"36005023302","Census Tract 233.02; Bronx County; New York",3746,1011,2772,1024,52092,1419,0.269887880405766,0.739989321943406,0.273358248798719,0.378804057661506
"36005023501","Census Tract 235.01; Bronx County; New York",3294,828,2945,1089,39419,1426,0.251366120218579,0.89404978749241,0.330601092896175,0.43290831815422
"36005023502","Census Tract 235.02; Bronx County; New York",4455,1516,3296,1016,49286,1933,0.340291806958474,0.739842873176207,0.228058361391695,0.433894500561167
"36005023600","Census Tract 236; Bronx County; New York",1714,224,1113,178,73152,776,0.130688448074679,0.649358226371062,0.103850641773629,0.452742123687281
"36005023702","Census Tract 237.02; Bronx County; New York",1156,443,683,426,53304,553,0.383217993079585,0.59083044982699,0.368512110726644,0.478373702422145
"36005023703","Census Tract 237.03; Bronx County; New York",5214,1647,4305,2588,21551,1392,0.315880322209436,0.82566168009206,0.496355964710395,0.266973532796318
"36005023704","Census Tract 237.04; Bronx County; New York",3750,851,2894,1605,34875,1437,0.226933333333333,0.771733333333333,0.428,0.3832
"36005023800","Census Tract 238; Bronx County; New York",2349,233,1400,290,72198,1118,0.0991911451681567,0.595998297147722,0.123456790123457,0.475947211579396
"36005023900","Census Tract 239; Bronx County; New York",9197,3210,6796,2677,46927,3753,0.349026856583669,0.738936609764054,0.291073176035664,0.408067848211373
"36005024000","Census Tract 240; Bronx County; New York",4575,1341,2192,841,76250,2067,0.293114754098361,0.479125683060109,0.183825136612022,0.451803278688525
"36005024100","Census Tract 241; Bronx County; New York",6473,2184,3935,1446,45425,2421,0.337401513981152,0.607909779082342,0.223389463927082,0.374015139811525
"36005024300","Census Tract 243; Bronx County; New York",5062,1135,3923,1542,29747,1928,0.224219676017384,0.774990122481233,0.30462267878309,0.380877123666535
"36005024400","Census Tract 244; Bronx County; New York",2271,136,1326,254,58603,1126,0.0598855129898723,0.583883751651255,0.111845002201673,0.495816820783796
"36005024501","Census Tract 245.01; Bronx County; New York",4737,1682,3438,1226,43504,2170,0.355077052987123,0.725775807473084,0.258813595102385,0.458095841249736
"36005024502","Census Tract 245.02; Bronx County; New York",3742,1311,2778,1048,33333,1662,0.350347407803314,0.742383752004276,0.280064136825227,0.444147514698022
"36005024600","Census Tract 246; Bronx County; New York",2041,144,907,287,86932,997,0.0705536501714846,0.444390004899559,0.140617344439,0.488486036256737
"36005024700","Census Tract 247; Bronx County; New York",1929,921,870,382,50993,886,0.477449455676516,0.451010886469673,0.198030067392431,0.459305339554173
"36005024800","Census Tract 248; Bronx County; New York",3242,485,1298,307,64961,1647,0.149599012954966,0.400370141887724,0.094694632942628,0.508019740900679
"36005024900","Census Tract 249; Bronx County; New York",0,0,0,0,NA,0,NA,NA,NA,NA
"36005025000","Census Tract 250; Bronx County; New York",2532,215,929,182,98700,1281,0.084913112164297,0.366903633491311,0.0718799368088468,0.505924170616114
"36005025100","Census Tract 251; Bronx County; New York",6601,1437,4662,1776,44845,3557,0.21769428874413,0.706256627783669,0.269050143917588,0.538857748825936
"36005025200","Census Tract 252; Bronx County; New York",2525,159,1164,282,85192,1249,0.062970297029703,0.460990099009901,0.111683168316832,0.494653465346535
"36005025300","Census Tract 253; Bronx County; New York",6014,1399,4982,1272,49906,2759,0.232623877618889,0.828400399068839,0.21150648486864,0.458762886597938
